Name,Team,Pos,GP,G,A,P,+/-,PIM,PPg,PPa,PPp,SHg,SHa,SHp,GWG,GT,FG,EN,SOG,Sh%,HT,GA,TA,FO,SB,2,5,Mi,Ma,GM,FI,FW,ATOI,APPT,APKT,+,-,FS,AvR,
Brandon Sutter,Canucks,C/RW,7,4,1,5,0,0,1,0,1,0,0,0,1,0,0,0,10,40.0,13,6,7,0.62,10,0,0,0,0,0,0,0,16:42,0:09,2:42,4,4,0,6.71,
Jake Virtanen,Canucks,RW,7,2,3,5,2,4,0,2,2,0,0,0,0,0,0,0,19,10.5,29,0,0,0,2,2,0,0,0,0,0,0,17:51,2:48,0:32,6,4,1,7.86,
Victor Söderström,Canucks,RD/LD,7,0,4,4,2,0,0,2,2,0,0,0,0,0,0,0,7,0.0,7,5,1,0,8,0,0,0,0,0,0,0,20:15,3:25,1:00,5,3,0,7.00,
Nikolay Goldobin,Canucks,LW/RW,7,2,1,3,0,0,0,0,0,0,0,0,1,0,1,0,16,12.5,6,2,0,0,2,0,0,0,0,0,0,0,18:41,2:43,0:40,3,3,0,7.00,
Brock Boeser,Canucks,RW,3,2,1,3,1,2,1,0,1,0,0,0,0,0,0,0,6,33.3,7,0,1,1.00,1,1,0,0,0,0,0,0,12:46,0:58,0:54,2,1,0,8.00,
Adam Gaudette,Canucks,C/RW,6,1,2,3,3,0,0,0,0,0,0,0,1,0,0,0,4,25.0,0,0,4,0.38,1,0,0,0,0,0,0,0,12:20,0:39,0:00,4,1,0,6.50,
Alexander Edler,Canucks,LD/RD,7,1,2,3,-4,2,1,0,1,0,0,0,0,0,1,0,15,6.7,21,1,6,0,9,1,0,0,0,0,0,0,26:37,2:08,2:20,4,8,0,7.00,
Bo Horvat,Canucks,C/LW,7,1,2,3,-4,6,1,1,2,0,0,0,0,0,0,0,15,6.7,14,2,5,0.71,6,3,0,0,0,0,0,0,19:41,2:45,2:27,2,6,0,6.57,
Sven Bärtschi,Canucks,LW,7,0,3,3,-2,0,0,1,1,0,0,0,0,0,0,0,13,0.0,13,2,1,0,2,0,0,0,0,0,0,0,17:17,2:48,0:10,4,6,0,7.00,
Loui Eriksson,Canucks,RW/LW,7,1,1,2,-4,0,0,0,0,0,0,0,0,0,0,0,11,9.1,11,6,1,0,2,0,0,0,0,0,0,0,12:25,0:00,0:00,2,6,0,6.86,
Chris Tanev,Canucks,RD,7,1,1,2,0,2,0,0,0,0,0,0,0,0,0,0,9,11.1,7,5,7,0,13,1,0,0,0,0,0,0,18:28,0:25,2:44,6,6,0,6.71,
Tanner Pearson,Canucks,LW/RW,7,1,1,2,2,6,0,0,0,0,0,0,0,0,0,0,11,9.1,8,1,1,0,2,3,0,0,0,0,0,0,12:16,0:00,0:00,5,3,0,6.86,
Olli Juolevi,Canucks,LD/RD,6,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,9,0.0,12,0,0,0,8,0,0,0,0,0,0,0,17:50,2:31,0:30,3,2,0,7.33,
Quinn Hughes,Canucks,LD/RD,7,0,2,2,-4,0,0,1,1,0,0,0,0,0,0,0,22,0.0,12,7,2,0,13,0,0,0,0,0,0,0,24:34,2:58,0:34,5,9,0,7.43,
Ryan Carpenter,Canucks,C/RW,5,0,2,2,-2,2,0,0,0,0,0,0,0,0,0,0,6,0.0,3,1,1,0.62,1,1,0,0,0,0,0,0,14:53,3:00,0:00,2,4,0,6.20,
Elias Pettersson,Canucks,C/RW,7,0,2,2,-3,6,0,0,0,0,0,0,0,0,0,0,11,0.0,15,1,1,0.75,5,3,0,0,0,0,0,0,19:00,2:43,1:52,2,5,0,7.14,
Josh Leivo,Canucks,RW/LW,7,1,0,1,-2,4,0,0,0,0,0,0,0,0,0,0,12,8.3,8,2,2,0.16,1,2,0,0,0,0,0,0,10:10,0:00,0:00,3,5,0,6.43,
Antoine Roussel,Canucks,LW/RW,7,1,0,1,-2,26,0,0,0,0,0,0,0,0,0,0,2,50.0,12,1,0,0,1,3,0,1,0,1,0,0,10:13,0:00,1:00,2,4,0,6.57,
Ben Hutton,Canucks,LD,1,0,1,1,-2,0,0,1,1,0,0,0,0,0,0,0,0,---,5,2,1,0,2,0,0,0,0,0,0,0,15:56,0:32,3:57,0,2,0,8.00,
Nikita Zadorov,Canucks,LD,6,0,1,1,3,6,0,0,0,0,0,0,0,0,0,0,7,0.0,15,1,3,0,3,3,0,0,0,0,0,0,17:22,0:31,1:56,5,2,0,6.67,
Olli Määttä,Canucks,LD/RD,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,---,0,0,1,0,1,0,0,0,0,0,0,0,16:09,0:00,1:59,0,0,0,6.00,
